id;type_aero;nom;latitude_deg;longitude_deg;elevation_ft;code_continent;code_pays;municipalite;code_icao;fuseau
MLG;small_airport;Abdul Rachman Saleh Airport;-7.926559925079999;112.714996338;1726;AS;ID;Malang-Java Island;WARA;Asia/Jakarta
MLI;large_airport;Quad City International Airport;41.44850158691406;-90.50749969482422;590;NA;US;Moline;KMLI;America/Chicago
MLK;small_airport;Malta Airport;48.366901397700005;-107.918998718;2254;NA;US;Malta;M75;America/Denver
MLL;medium_airport;Marshall Don Hunter Sr Airport;61.8642997742;-162.026000977;103;NA;US;Marshall;PADM;America/Nome
MLM;medium_airport;General Francisco J. Mujica International Airport;19.849899292;-101.025001526;6033;NA;MX;Morelia;MMMM;America/Mexico_City
MLN;medium_airport;Melilla Airport;35.279800415;-2.9562599659;156;EU;ES;Melilla;GEML;Africa/Casablanca
MLO;small_airport;Milos Airport;36.6968994141;24.476900100699996;10;EU;GR;Milos Island;LGML;Europe/Athens
MLP;small_airport;Malabang Airport;7.617219924926758;124.05899810791016;27;AS;PH;Malabang;RPMM;Asia/Manila
MLQ;small_airport;Malalaua Airport;-8.07138888889;146.155472222;20;OC;PG;Malalaua;AYMP;Pacific/Port_Moresby
MLR;small_airport;Millicent Airport;-37.58359909057617;140.36599731445312;56;OC;AU;;YMCT;Australia/Adelaide
MLS;medium_airport;Frank Wiley Field;46.428001403808594;-105.88600158691406;2630;NA;US;Miles City;KMLS;America/Denver
MLU;large_airport;Monroe Regional Airport;32.51089859008789;-92.0376968383789;79;NA;US;Monroe;KMLU;America/Chicago
MLV;small_airport;Merluna Airport;-13.0649;142.4536;276;OC;AU;Merluna;YMEU;Australia/Brisbane
MLW;medium_airport;Spriggs Payne Airport;6.289060115814209;-10.758700370788574;25;AF;LR;Monrovia;GLMR;Africa/Monrovia
MLX;medium_airport;Malatya Erhaç Airport;38.435298919699996;38.0909996033;2828;AS;TR;Malatya;LTAT;Europe/Istanbul
MLY;small_airport;Manley Hot Springs Airport;64.99759674069999;-150.643997192;270;NA;US;Manley Hot Springs;PAML;America/Anchorage
MLZ;small_airport;Cerro Largo International Airport;-32.33789825439453;-54.21670150756836;364;SA;UY;Melo;SUMO;America/Montevideo
MMB;medium_airport;Memanbetsu Airport;43.8805999756;144.164001465;135;AS;JP;Ozora;RJCM;Asia/Tokyo
MMC;small_airport;Ciudad Mante National Airport;22.74317741394043;-99.01737213134766;341;NA;MX;Ciudad Mante;MMDM;America/Monterrey
MMD;medium_airport;Minami-Daito Airport;25.8465003967;131.263000488;167;AS;JP;Minamidaito;ROMD;Asia/Tokyo
MME;medium_airport;Durham Tees Valley Airport;54.50920104980469;-1.4294099807739258;120;EU;GB;Durham;EGNV;Europe/London
MMF;small_airport;Mamfe Airport;5.704170227050781;9.306389808654785;413;AF;CM;Mamfe;FKKF;Africa/Douala
MMG;medium_airport;Mount Magnet Airport;-28.116100311279297;117.84200286865234;1354;OC;AU;;YMOG;Australia/Perth
MMH;small_airport;Mammoth Yosemite Airport;37.62409973;-118.8379974;7135;NA;US;Mammoth Lakes;KMMH;America/Los_Angeles
MMI;small_airport;McMinn County Airport;35.39730072;-84.56259918;875;NA;US;Athens;KMMI;America/New_York
MMJ;medium_airport;Matsumoto Airport;36.16680145263672;137.92300415039062;2182;AS;JP;Matsumoto;RJAF;Asia/Tokyo
MMK;medium_airport;Murmansk Airport;68.78170013427734;32.75080108642578;266;EU;RU;Murmansk;ULMM;Europe/Moscow
MML;small_airport;Southwest Minnesota Regional Airport - Marshall/Ryan Field;44.45050049;-95.82189941;1183;NA;US;Marshall;KMML;America/Chicago
MMM;small_airport;Middlemount Airport;-22.802499771118164;148.7050018310547;547;OC;AU;;YMMU;Australia/Brisbane
MMO;medium_airport;Maio Airport;15.155900001525879;-23.213699340820312;36;AF;CV;Vila do Maio;GVMA;Atlantic/Cape_Verde
MMQ;small_airport;Mbala Airport;-8.859169960021973;31.33639907836914;5454;AF;ZM;Mbala;FLBA;Africa/Lusaka
MMS;small_airport;Selfs Airport;34.2314987183;-90.28959655759999;162;NA;US;Marks;KMMS;America/Chicago
